,Party,https://www.govtrack.us/congress/votes/84-1955/s1,https://www.govtrack.us/congress/votes/84-1955/s2,https://www.govtrack.us/congress/votes/84-1955/s3,https://www.govtrack.us/congress/votes/84-1955/s4,https://www.govtrack.us/congress/votes/84-1955/s5,https://www.govtrack.us/congress/votes/84-1955/s6,https://www.govtrack.us/congress/votes/84-1955/s7,https://www.govtrack.us/congress/votes/84-1955/s8,https://www.govtrack.us/congress/votes/84-1955/s9,https://www.govtrack.us/congress/votes/84-1955/s10,https://www.govtrack.us/congress/votes/84-1955/s11,https://www.govtrack.us/congress/votes/84-1955/s12,https://www.govtrack.us/congress/votes/84-1955/s13,https://www.govtrack.us/congress/votes/84-1955/s14,https://www.govtrack.us/congress/votes/84-1955/s15,https://www.govtrack.us/congress/votes/84-1955/s16,https://www.govtrack.us/congress/votes/84-1955/s17,https://www.govtrack.us/congress/votes/84-1955/s18,https://www.govtrack.us/congress/votes/84-1955/s19,https://www.govtrack.us/congress/votes/84-1955/s20,https://www.govtrack.us/congress/votes/84-1955/s21,https://www.govtrack.us/congress/votes/84-1955/s22,https://www.govtrack.us/congress/votes/84-1955/s23,https://www.govtrack.us/congress/votes/84-1955/s24,https://www.govtrack.us/congress/votes/84-1955/s25,https://www.govtrack.us/congress/votes/84-1955/s26,https://www.govtrack.us/congress/votes/84-1955/s27,https://www.govtrack.us/congress/votes/84-1955/s28,https://www.govtrack.us/congress/votes/84-1955/s29,https://www.govtrack.us/congress/votes/84-1955/s30,https://www.govtrack.us/congress/votes/84-1955/s31,https://www.govtrack.us/congress/votes/84-1955/s32,https://www.govtrack.us/congress/votes/84-1955/s33,https://www.govtrack.us/congress/votes/84-1955/s34,https://www.govtrack.us/congress/votes/84-1955/s35,https://www.govtrack.us/congress/votes/84-1955/s36,https://www.govtrack.us/congress/votes/84-1955/s37,https://www.govtrack.us/congress/votes/84-1955/s38,https://www.govtrack.us/congress/votes/84-1955/s39,https://www.govtrack.us/congress/votes/84-1955/s40,https://www.govtrack.us/congress/votes/84-1955/s41,https://www.govtrack.us/congress/votes/84-1955/s42,https://www.govtrack.us/congress/votes/84-1955/s43,https://www.govtrack.us/congress/votes/84-1955/s44,https://www.govtrack.us/congress/votes/84-1955/s45,https://www.govtrack.us/congress/votes/84-1955/s46,https://www.govtrack.us/congress/votes/84-1955/s47,https://www.govtrack.us/congress/votes/84-1955/s48,https://www.govtrack.us/congress/votes/84-1955/s49,https://www.govtrack.us/congress/votes/84-1955/s50,https://www.govtrack.us/congress/votes/84-1955/s51,https://www.govtrack.us/congress/votes/84-1955/s52,https://www.govtrack.us/congress/votes/84-1955/s53,https://www.govtrack.us/congress/votes/84-1955/s54,https://www.govtrack.us/congress/votes/84-1955/s55,https://www.govtrack.us/congress/votes/84-1955/s56,https://www.govtrack.us/congress/votes/84-1955/s57,https://www.govtrack.us/congress/votes/84-1955/s58,https://www.govtrack.us/congress/votes/84-1955/s59,https://www.govtrack.us/congress/votes/84-1955/s60,https://www.govtrack.us/congress/votes/84-1955/s61,https://www.govtrack.us/congress/votes/84-1955/s62,https://www.govtrack.us/congress/votes/84-1955/s63,https://www.govtrack.us/congress/votes/84-1955/s64,https://www.govtrack.us/congress/votes/84-1955/s65,https://www.govtrack.us/congress/votes/84-1955/s66,https://www.govtrack.us/congress/votes/84-1955/s67,https://www.govtrack.us/congress/votes/84-1955/s68,https://www.govtrack.us/congress/votes/84-1955/s69,https://www.govtrack.us/congress/votes/84-1955/s70,https://www.govtrack.us/congress/votes/84-1955/s71,https://www.govtrack.us/congress/votes/84-1955/s72,https://www.govtrack.us/congress/votes/84-1955/s73,https://www.govtrack.us/congress/votes/84-1955/s74,https://www.govtrack.us/congress/votes/84-1955/s75,https://www.govtrack.us/congress/votes/84-1955/s76,https://www.govtrack.us/congress/votes/84-1955/s77,https://www.govtrack.us/congress/votes/84-1955/s78,https://www.govtrack.us/congress/votes/84-1955/s79,https://www.govtrack.us/congress/votes/84-1955/s80,https://www.govtrack.us/congress/votes/84-1955/s81,https://www.govtrack.us/congress/votes/84-1955/s82,https://www.govtrack.us/congress/votes/84-1955/s83,https://www.govtrack.us/congress/votes/84-1955/s84,https://www.govtrack.us/congress/votes/84-1955/s85,https://www.govtrack.us/congress/votes/84-1955/s86,https://www.govtrack.us/congress/votes/84-1955/s87
"Sen. James Murray [D, 1934-1960]",D,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
"Sen. Margaret Smith [R, 1949-1972]",R,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
"Sen. Joseph Frear Jr. [D, 1949-1960]",D,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. Everett Dirksen [R, 1951-1968]",R,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
"Sen. Karl Mundt [R, 1948-1972]",R,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
"Sen. Homer Capehart [R, 1945-1962]",R,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
"Sen. John Stennis [D, 1947-1988]",D,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
"Sen. Allen Ellender [D, 1937-1972]",D,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
"Sen. Frank Barrett [R, 1953-1958]",R,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. Theodore Green [D, 1937-1960]",D,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Sen. Patrick McNamara [D, 1955-1966]",D,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
"Sen. Matthew Neely [D, 1949-1958]",D,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0
"Sen. John Williams [R, 1947-1970]",R,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
"Sen. Robert Kerr [D, 1949-1963]",D,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
